valid_time,nwp_c,segment_origin,run,run_lead_hours
2025-11-29 10:00:00+00:00,25.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,10
2025-11-29 11:00:00+00:00,23.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,11
2025-11-29 12:00:00+00:00,22.7,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,12
2025-11-29 13:00:00+00:00,22.1,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,13
2025-11-29 14:00:00+00:00,21.1,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,14
2025-11-29 15:00:00+00:00,19.8,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,15
2025-11-29 16:00:00+00:00,18.8,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,16
2025-11-29 17:00:00+00:00,18.3,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,17
2025-11-29 18:00:00+00:00,18.3,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,18
2025-11-29 19:00:00+00:00,18.2,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,19
2025-11-29 20:00:00+00:00,18.1,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,20
2025-11-29 21:00:00+00:00,18.0,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,21
2025-11-29 22:00:00+00:00,17.6,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,22
2025-11-29 23:00:00+00:00,17.1,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,23
2025-11-30 00:00:00+00:00,16.8,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,24
2025-11-30 01:00:00+00:00,17.3,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,25
2025-11-30 02:00:00+00:00,19.7,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,26
2025-11-30 03:00:00+00:00,21.7,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,27
2025-11-30 04:00:00+00:00,23.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,28
2025-11-30 05:00:00+00:00,24.6,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,29
2025-11-30 06:00:00+00:00,25.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,30
2025-11-30 07:00:00+00:00,26.1,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,31
2025-11-30 08:00:00+00:00,26.2,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,32
2025-11-30 09:00:00+00:00,26.0,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,33
2025-11-30 10:00:00+00:00,25.4,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,34
2025-11-30 11:00:00+00:00,23.6,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,35
2025-11-30 12:00:00+00:00,22.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,36
2025-11-30 13:00:00+00:00,21.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,37
2025-11-30 14:00:00+00:00,20.7,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,38
2025-11-30 15:00:00+00:00,19.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,39
2025-11-30 16:00:00+00:00,18.9,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,40
2025-11-30 17:00:00+00:00,18.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,41
2025-11-30 18:00:00+00:00,18.1,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,42
2025-11-30 19:00:00+00:00,17.8,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,43
2025-11-30 20:00:00+00:00,17.4,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,44
2025-11-30 21:00:00+00:00,17.0,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,45
2025-11-30 22:00:00+00:00,16.5,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,46
2025-11-30 23:00:00+00:00,16.4,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,47
2025-12-01 00:00:00+00:00,16.2,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,48
2025-12-01 01:00:00+00:00,16.9,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,49
2025-12-01 02:00:00+00:00,19.4,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,50
2025-12-01 03:00:00+00:00,21.3,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,51
2025-12-01 04:00:00+00:00,22.9,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,52
2025-12-01 05:00:00+00:00,24.3,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,53
2025-12-01 06:00:00+00:00,25.2,2025-11-29 06:00:00+00:00,2025-11-29 00:00:00+00:00,54
2025-12-01 07:00:00+00:00,25.6,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,7
2025-12-01 08:00:00+00:00,26.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,8
2025-12-01 09:00:00+00:00,25.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,9
2025-12-01 10:00:00+00:00,25.1,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,10
2025-12-01 11:00:00+00:00,23.1,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,11
2025-12-01 12:00:00+00:00,22.7,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,12
2025-12-01 13:00:00+00:00,22.5,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,13
2025-12-01 14:00:00+00:00,21.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,14
2025-12-01 15:00:00+00:00,20.8,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,15
2025-12-01 16:00:00+00:00,19.2,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,16
2025-12-01 17:00:00+00:00,18.6,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,17
2025-12-01 18:00:00+00:00,18.5,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,18
2025-12-01 19:00:00+00:00,18.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,19
2025-12-01 20:00:00+00:00,17.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,20
2025-12-01 21:00:00+00:00,17.5,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,21
2025-12-01 22:00:00+00:00,17.4,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,22
2025-12-01 23:00:00+00:00,17.8,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,23
2025-12-02 00:00:00+00:00,18.2,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,24
2025-12-02 01:00:00+00:00,18.2,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,25
2025-12-02 02:00:00+00:00,19.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,26
2025-12-02 03:00:00+00:00,21.3,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,27
2025-12-02 04:00:00+00:00,22.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,28
2025-12-02 05:00:00+00:00,24.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,29
2025-12-02 06:00:00+00:00,25.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,30
2025-12-02 07:00:00+00:00,25.7,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,31
2025-12-02 08:00:00+00:00,26.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,32
2025-12-02 09:00:00+00:00,25.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,33
2025-12-02 10:00:00+00:00,25.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,34
2025-12-02 11:00:00+00:00,22.4,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,35
2025-12-02 12:00:00+00:00,21.7,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,36
2025-12-02 13:00:00+00:00,20.6,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,37
2025-12-02 14:00:00+00:00,20.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,38
2025-12-02 15:00:00+00:00,19.4,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,39
2025-12-02 16:00:00+00:00,19.6,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,40
2025-12-02 17:00:00+00:00,19.5,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,41
2025-12-02 18:00:00+00:00,18.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,42
2025-12-02 19:00:00+00:00,18.3,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,43
2025-12-02 20:00:00+00:00,17.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,44
2025-12-02 21:00:00+00:00,16.4,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,45
2025-12-02 22:00:00+00:00,15.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,46
2025-12-02 23:00:00+00:00,15.9,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,47
2025-12-03 00:00:00+00:00,15.6,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,48
2025-12-03 01:00:00+00:00,16.0,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,49
2025-12-03 02:00:00+00:00,18.6,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,50
2025-12-03 03:00:00+00:00,20.7,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,51
2025-12-03 04:00:00+00:00,22.5,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,52
2025-12-03 05:00:00+00:00,24.1,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,53
2025-12-03 06:00:00+00:00,25.2,2025-12-01 06:00:00+00:00,2025-12-01 00:00:00+00:00,54
2025-12-03 07:00:00+00:00,25.9,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,7
2025-12-03 08:00:00+00:00,26.2,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,8
2025-12-03 09:00:00+00:00,26.1,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,9
2025-12-03 10:00:00+00:00,25.5,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,10
2025-12-03 11:00:00+00:00,22.8,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,11
2025-12-03 12:00:00+00:00,21.8,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,12
2025-12-03 13:00:00+00:00,21.3,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,13
2025-12-03 14:00:00+00:00,20.0,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,14
2025-12-03 15:00:00+00:00,19.3,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,15
2025-12-03 16:00:00+00:00,18.9,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,16
2025-12-03 17:00:00+00:00,19.1,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,17
2025-12-03 18:00:00+00:00,18.6,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,18
2025-12-03 19:00:00+00:00,18.1,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,19
2025-12-03 20:00:00+00:00,17.6,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,20
2025-12-03 21:00:00+00:00,17.5,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,21
2025-12-03 22:00:00+00:00,17.2,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,22
2025-12-03 23:00:00+00:00,17.0,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,23
2025-12-04 00:00:00+00:00,16.9,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,24
2025-12-04 01:00:00+00:00,17.2,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,25
2025-12-04 02:00:00+00:00,18.4,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,26
2025-12-04 03:00:00+00:00,19.7,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,27
2025-12-04 04:00:00+00:00,22.1,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,28
2025-12-04 05:00:00+00:00,24.0,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,29
2025-12-04 06:00:00+00:00,25.4,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,30
2025-12-04 07:00:00+00:00,26.2,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,31
2025-12-04 08:00:00+00:00,26.6,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,32
2025-12-04 09:00:00+00:00,26.4,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,33
2025-12-04 10:00:00+00:00,25.4,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,34
2025-12-04 11:00:00+00:00,22.5,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,35
2025-12-04 12:00:00+00:00,21.7,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,36
2025-12-04 13:00:00+00:00,20.8,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,37
2025-12-04 14:00:00+00:00,19.6,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,38
2025-12-04 15:00:00+00:00,18.8,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,39
2025-12-04 16:00:00+00:00,18.4,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,40
2025-12-04 17:00:00+00:00,18.1,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,41
2025-12-04 18:00:00+00:00,18.1,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,42
2025-12-04 19:00:00+00:00,17.5,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,43
2025-12-04 20:00:00+00:00,17.0,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,44
2025-12-04 21:00:00+00:00,16.9,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,45
2025-12-04 22:00:00+00:00,16.5,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,46
2025-12-04 23:00:00+00:00,16.2,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,47
2025-12-05 00:00:00+00:00,15.9,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,48
2025-12-05 01:00:00+00:00,16.4,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,49
2025-12-05 02:00:00+00:00,18.0,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,50
2025-12-05 03:00:00+00:00,19.6,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,51
2025-12-05 04:00:00+00:00,22.0,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,52
2025-12-05 05:00:00+00:00,23.9,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,53
2025-12-05 06:00:00+00:00,25.3,2025-12-03 06:00:00+00:00,2025-12-03 00:00:00+00:00,54
2025-12-05 07:00:00+00:00,25.7,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,7
2025-12-05 08:00:00+00:00,26.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,8
2025-12-05 09:00:00+00:00,26.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,9
2025-12-05 10:00:00+00:00,24.8,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,10
2025-12-05 11:00:00+00:00,22.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,11
2025-12-05 12:00:00+00:00,21.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,12
2025-12-05 13:00:00+00:00,20.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,13
2025-12-05 14:00:00+00:00,19.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,14
2025-12-05 15:00:00+00:00,18.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,15
2025-12-05 16:00:00+00:00,17.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,16
2025-12-05 17:00:00+00:00,17.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,17
2025-12-05 18:00:00+00:00,17.2,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,18
2025-12-05 19:00:00+00:00,16.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,19
2025-12-05 20:00:00+00:00,16.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,20
2025-12-05 21:00:00+00:00,16.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,21
2025-12-05 22:00:00+00:00,15.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,22
2025-12-05 23:00:00+00:00,15.4,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,23
2025-12-06 00:00:00+00:00,15.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,24
2025-12-06 01:00:00+00:00,15.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,25
2025-12-06 02:00:00+00:00,17.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,26
2025-12-06 03:00:00+00:00,19.2,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,27
2025-12-06 04:00:00+00:00,20.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,28
2025-12-06 05:00:00+00:00,22.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,29
2025-12-06 06:00:00+00:00,24.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,30
2025-12-06 07:00:00+00:00,24.7,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,31
2025-12-06 08:00:00+00:00,25.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,32
2025-12-06 09:00:00+00:00,25.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,33
2025-12-06 10:00:00+00:00,24.2,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,34
2025-12-06 11:00:00+00:00,22.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,35
2025-12-06 12:00:00+00:00,20.8,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,36
2025-12-06 13:00:00+00:00,19.7,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,37
2025-12-06 14:00:00+00:00,18.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,38
2025-12-06 15:00:00+00:00,18.2,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,39
2025-12-06 16:00:00+00:00,17.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,40
2025-12-06 17:00:00+00:00,17.7,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,41
2025-12-06 18:00:00+00:00,17.0,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,42
2025-12-06 19:00:00+00:00,16.4,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,43
2025-12-06 20:00:00+00:00,15.7,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,44
2025-12-06 21:00:00+00:00,15.1,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,45
2025-12-06 22:00:00+00:00,14.8,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,46
2025-12-06 23:00:00+00:00,14.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,47
2025-12-07 00:00:00+00:00,14.6,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,48
2025-12-07 01:00:00+00:00,15.3,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,49
2025-12-07 02:00:00+00:00,16.9,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,50
2025-12-07 03:00:00+00:00,18.7,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,51
2025-12-07 04:00:00+00:00,20.8,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,52
2025-12-07 05:00:00+00:00,22.5,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,53
2025-12-07 06:00:00+00:00,23.8,2025-12-05 06:00:00+00:00,2025-12-05 00:00:00+00:00,54
